cod_ibge;municipio;uf;ano;populacao;fonte
5000203;Água Clara;MS;2021;16025;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000252;Alcinópolis;MS;2021;5489;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000609;Amambai;MS;2021;40247;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000708;Anastácio;MS;2021;25336;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000807;Anaurilândia;MS;2021;9116;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000856;Angélica;MS;2021;11081;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000906;Antônio João;MS;2021;9082;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001003;Aparecida do Taboado;MS;2021;26386;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001102;Aquidauana;MS;2021;48184;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001243;Aral Moreira;MS;2021;12511;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001508;Bandeirantes;MS;2021;7281;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001904;Bataguassu;MS;2021;23620;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002001;Batayporã;MS;2021;11368;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002100;Bela Vista;MS;2021;24842;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002159;Bodoquena;MS;2021;7802;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002209;Bonito;MS;2021;22401;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002308;Brasilândia;MS;2021;11835;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002407;Caarapó;MS;2021;31005;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002605;Camapuã;MS;2021;13675;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002704;Campo Grande;MS;2021;916001;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002803;Caracol;MS;2021;6247;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002902;Cassilândia;MS;2021;22063;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002951;Chapadão do Sul;MS;2021;26499;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003108;Corguinho;MS;2021;6158;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003157;Coronel Sapucaia;MS;2021;15449;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003207;Corumbá;MS;2021;112669;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003256;Costa Rica;MS;2021;21456;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003306;Coxim;MS;2021;33547;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003454;Deodápolis;MS;2021;13043;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003488;Dois Irmãos do Buriti;MS;2021;11547;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003504;Douradina;MS;2021;6025;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003702;Dourados;MS;2021;227990;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003751;Eldorado;MS;2021;12447;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003801;Fátima do Sul;MS;2021;19152;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003900;Figueirão;MS;2021;3066;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004007;Glória de Dourados;MS;2021;9934;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004106;Guia Lopes da Laguna;MS;2021;9754;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004304;Iguatemi;MS;2021;16273;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004403;Inocência;MS;2021;7566;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004502;Itaporã;MS;2021;25478;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004601;Itaquiraí;MS;2021;21604;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004700;Ivinhema;MS;2021;23277;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004809;Japorã;MS;2021;9372;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004908;Jaraguari;MS;2021;7342;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005004;Jardim;MS;2021;26375;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005103;Jateí;MS;2021;4015;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005152;Juti;MS;2021;6861;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005202;Ladário;MS;2021;24040;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005251;Laguna Carapã;MS;2021;7496;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005400;Maracaju;MS;2021;48944;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005608;Miranda;MS;2021;28423;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005681;Mundo Novo;MS;2021;18578;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005707;Naviraí;MS;2021;56484;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005806;Nioaque;MS;2021;13794;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006002;Nova Alvorada do Sul;MS;2021;22967;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006200;Nova Andradina;MS;2021;56057;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006259;Novo Horizonte do Sul;MS;2021;3556;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006275;Paraíso das Águas;MS;2021;5751;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006309;Paranaíba;MS;2021;42401;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006358;Paranhos;MS;2021;14576;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006408;Pedro Gomes;MS;2021;7568;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006606;Ponta Porã;MS;2021;95320;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006903;Porto Murtinho;MS;2021;17460;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007109;Ribas do Rio Pardo;MS;2021;25310;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007208;Rio Brilhante;MS;2021;38844;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007307;Rio Negro;MS;2021;4758;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007406;Rio Verde de Mato Grosso;MS;2021;20025;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007505;Rochedo;MS;2021;5120;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007554;Santa Rita do Pardo;MS;2021;7948;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007695;São Gabriel do Oeste;MS;2021;27660;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007703;Sete Quedas;MS;2021;10751;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007802;Selvíria;MS;2021;6555;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007901;Sidrolândia;MS;2021;60792;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007935;Sonora;MS;2021;20158;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007950;Tacuru;MS;2021;11795;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007976;Taquarussu;MS;2021;3588;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5008008;Terenos;MS;2021;22721;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5008305;Três Lagoas;MS;2021;125137;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5008404;Vicentina;MS;2021;6115;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
